,CDID,ADDRESS1,ADDRESS2,ADDRESS3,CITY,STATEPROVINCE,POSTALCODE,COUNTRY,Scenario,Use Case,Raw Data
0,710616846,6th Floor,Farringdon Street,,London,MIDDLESEX,EC4A 4AB,GB,Special character ,Swapping the order of dataset  - City,"6th Floor,Farringdon Street,London,MIDDLESEX,EC4A 4AB"
1,710499026,1ST FLOOR,7 PRINCES STREET,,LONDON,UNITED KINGDOM-NA,EC2R 8AQ,GB,Special character ,Swapping the order of dataset  - City,"1ST FLOOR,7 PRINCES STREET,LONDON, ,EC2R 8AQ"
2,710492646,6TH FLOOR,65 GRESHAM STREET,,LONDON,UNITED KINGDOM-NA,EC2V 7NQ,GB,Special character ,Swapping the order of dataset  - City,"6TH FLOOR,65 GRESHAM STREET,LONDON, ,EC2V 7NQ"
3,710655173,6TH FLOOR,130 JERMYN STREET,,LONDON,UNITED KINGDOM-NA,SW1Y 4UR,GB,Special character ,Swapping the order of dataset  - City,"6TH FLOOR,130 JERMYN STREET,LONDON, ,SW1Y 4UR"
4,710680968,2ND FLOOR,36 QUEEN STREET,,LONDON,GB-LND,EC4R 1BN,GB,Special character ,Swapping the order of dataset  - City,"2ND FLOOR,36 QUEEN STREET,LONDON, ,EC4R 1BN"
5,710705623,1ST FLOOR,10 NEW BURLINGTON STREET,,LONDON,,W1S 3BE,GB,Special character ,Swapping the order of dataset  - City,"1ST FLOOR,10 NEW BURLINGTON STREET,LONDON,W1S 3BE"
6,710787429,7TH FLOOR,20 GRESHAM STREET,,LONDON,GB-ENG,EC2V 7JE,GB,Special character ,Swapping the order of dataset  - City,"7TH FLOOR,20 GRESHAM STREET,LONDON, ,EC2V 7JE"
7,710819140,3RD FLOOR,11 HILL STREET,,LONDON,GB-ENG,W1J 5LF,GB,Special character ,Swapping the order of dataset  - City,"3RD FLOOR,11 HILL STREET,LONDON, ,W1J 5LF"
8,710851358,6TH FLOOR,130 JERMYN STREET,,LONDON,,SW1Y 4UR,GB,Special character ,Swapping the order of dataset  - City,"6TH FLOOR,,130 JERMYN STREET,LONDON,SW1Y 4UR"
9,710863884,"SUITE 2, 3RD FLOOR, 11-12 ST. JAMES'S SQUARE","1 GREAT WINCHESTER STREET, MAILSTOP 428",,LONDON,UNITED KINGDOM-NA,SW1Y 4LB,GB,Special character ,Swapping the order of dataset  - City,"SUITE 2, 3RD FLOOR, 11-12 ST. JAMES'S SQUARE,1 GREAT WINCHESTER STREET, MAILSTOP 428,LONDON, ,SW1Y 4LB"
10,710967976,THIRD FLOOR CLAREVILLE HOUSE,26-27 OXENDON STREET,,LONDON,GB-LND,SW1Y 4EL,GB,Special character ,Swapping the order of dataset  - City,"THIRD FLOOR CLAREVILLE HOUSE,26-27 OXENDON STREET,LONDON, ,SW1Y 4EL"
11,710947560,CUNARD HOUSE 5TH FLOOR,15 REGENT STREET,,LONDON,GB-ENG,SW1Y 4LR,GB,Special character ,Swapping the order of dataset  - City,"CUNARD HOUSE 5TH FLOOR,15 REGENT STREET,LONDON, ,SW1Y 4LR"
12,712130273,ASTICUS BUILDING 2ND FLOOR,21 PALMER STREET,,LONDON,UNITED KINGDOM-NA,SW1H 0AD,GB,Special character ,Swapping the order of dataset  - City,"ASTICUS BUILDING 2ND FLOOR,21 PALMER STREET,LONDON, ,SW1H 0AD"
13,712784154,2ND FLOOR,11 THISTLE STREET,,EDINBURGH,UNITED KINGDOM-NA,EH2 1DF,GB,Special character ,Swapping the order of dataset  - City,"2ND FLOOR,11 THISTLE STREET,EDINBURGH, ,EH2 1DF"
