,CDID,ADDRESS,COUNTRY,ADDRESS1,ADDRESS2,ADDRESS3,CITY,STATEPROVINCE,POSTALCODE,COUNTRY.1,Scenario,Use Case,Raw Data
0,710602498,"7th Floor, Suite 700,100 North Union Street Montgomery AL 36104",US,7th Floor Suite 700,100 North Union Street,,Montgomery,AL,36104,US,Special character ,Swapping the order of dataset  - City,"7th Floor, Suite 700,100 North Union Street Montgomery AL 36104"
1,710005132,"Suite 122,1101 East Warner Road Tempe AZ 85284",US,Suite 122,1101 East Warner Road,,Tempe,AZ,85284,US,Special character ,Swapping the order of dataset  - City,"Suite 122,1101 East Warner Road Tempe AZ 85284"
2,711422208,"Suite 1100,2325 East Camelback Road Phoenix AZ 85016",US,Suite 1100,2325 East Camelback Road,,Phoenix,AZ,85016,US,Special character ,Swapping the order of dataset  - City,"Suite 1100,2325 East Camelback Road Phoenix AZ 85016"
3,710578784,"16th Floor,650 California Street San Francisco CA 94108",US,16th Floor,650 California Street,,San Francisco,CA,94108,US,Special character ,Swapping the order of dataset  - City,"16th Floor,650 California Street San Francisco CA 94108"
4,710586084,"18th Floor,45 Fremont Street San Francisco CA 94105",US,18th Floor,45 Fremont Street,,San Francisco,CA,94105,US,Special character ,Swapping the order of dataset  - City,"18th Floor,45 Fremont Street San Francisco CA 94105"
5,711397461,"12th Floor,520 Newport Center Drive Newport Beach CA 92660",US,12th Floor,520 Newport Center Drive,,Newport Beach,CA,92660,US,Special character ,Swapping the order of dataset  - City,"12th Floor,520 Newport Center Drive Newport Beach CA 92660"
6,710610115,"16th Floor,650 California Street San Francisco CA 94108",US,16th Floor,650 California Street,,San Francisco,CA,94108,US,Special character ,Swapping the order of dataset  - City,"16th Floor,650 California Street San Francisco CA 94108"
7,710614700,"29th Floor,595 Market Street San Francisco CA 94105",US,29th Floor,595 Market Street,,San Francisco,CA,94105,US,Special character ,Swapping the order of dataset  - City,"29th Floor,595 Market Street San Francisco CA 94105"
8,400171449,"29th Floor,601 South Figueroa Street Los Angeles CA 90017",US,29th Floor,601 South Figueroa Street,,Los Angeles,CA,90017,US,Special character ,Swapping the order of dataset  - City,"29th Floor,601 South Figueroa Street Los Angeles CA 90017"
9,710239795,"3rd Floor,1050 Enterprise Way Sunnyvale CA 94089",US,3rd Floor,1050 Enterprise Way,,Sunnyvale,CA,94089,US,Special character ,Swapping the order of dataset  - City,"3rd Floor,1050 Enterprise Way Sunnyvale CA 94089"
10,700086418,"12th Floor,425 Market Street San Francisco CA 94105",US,12th Floor,425 Market Street,,San Francisco,CA,94105,US,Special character ,Swapping the order of dataset  - City,"12th Floor,425 Market Street San Francisco CA 94105"
